epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,80.3589,1.16143,0.93707,0.99801,0.21032,0.00999054,0.00333018,0.00999054,0.00333018,0.00999054,0.00333018,0.00999054,0.00333018
2,140.12,0.32585,0.97152,1,0.09235,0.0195947,0.00653158,0.0195947,0.00653158,0.0195947,0.00653158,0.0195947,0.00653158
3,196.467,0.30393,0.94612,0.99912,0.16088,0.0288029,0.00960097,0.0288029,0.00960097,0.0288029,0.00960097,0.0288029,0.00960097
4,235.5,0.35284,0.91764,0.9989,0.25217,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,274.47,0.26039,0.97417,1,0.07196,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,313.688,0.22037,0.97372,1,0.07411,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,352.463,0.18997,0.97461,1,0.07852,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,391.276,0.15814,0.97152,0.99956,0.09425,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,430.824,0.13345,0.97924,0.99978,0.06346,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,469.578,0.13834,0.98145,1,0.0553,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,508.374,0.1165,0.98322,1,0.05551,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,547.803,0.11453,0.98675,1,0.04214,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,586.956,0.10485,0.98454,1,0.04491,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,625.783,0.1079,0.99161,1,0.0334,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,664.719,0.09408,0.9894,1,0.03532,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,703.742,0.08634,0.99095,1,0.0339,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,742.131,0.08684,0.99249,1,0.02328,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,780.713,0.07892,0.99293,1,0.0243,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,819.713,0.08411,0.99139,1,0.02617,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,858.455,0.0738,0.99448,1,0.01943,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,897.399,0.06788,0.99558,1,0.0156,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,936.146,0.06106,0.99249,1,0.02126,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,974.793,0.06642,0.99448,1,0.0164,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,1016.78,0.0546,0.99492,1,0.01597,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,1135.72,0.05814,0.99338,1,0.01899,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
26,1220.2,0.05695,0.99514,1,0.0138,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,1259.29,0.05291,0.99625,1,0.01348,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
28,1298.39,0.04625,0.99558,1,0.01349,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
29,1337.75,0.0413,0.99536,1,0.01585,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
30,1376.91,0.04119,0.99492,1,0.01604,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
31,1416.05,0.04144,0.99669,1,0.01284,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
32,1455.14,0.03814,0.99625,1,0.0139,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,1494.73,0.03566,0.99735,1,0.01152,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,1534.56,0.03602,0.99735,1,0.0097,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,1573.94,0.03013,0.99713,1,0.01041,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,1612.98,0.02931,0.99669,1,0.0112,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,1652.31,0.02824,0.99735,1,0.01079,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,1691.14,0.02541,0.99735,1,0.00972,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,1730.95,0.02417,0.99757,1,0.00979,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,1770.24,0.02461,0.99757,1,0.00983,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,1841.94,0.02225,0.99801,1,0.00911,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,1880.91,0.02277,0.99801,1,0.00851,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,1919.85,0.018,0.99823,1,0.0083,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,1958.75,0.01767,0.99801,1,0.00805,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,1998.39,0.01719,0.99801,1,0.008,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,2037.43,0.01552,0.99823,1,0.00791,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,2076.83,0.01719,0.99779,1,0.00822,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,2116.06,0.01137,0.99801,1,0.0082,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,2154.98,0.01435,0.99801,1,0.00807,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,2193.4,0.01476,0.99845,1,0.00797,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
